neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,host_type
Manhattan,Theater District,Entire home/apt,200,5,8,0.09,0,Ocasional
Manhattan,Upper East Side,Entire home/apt,485,7,11,0.12,0,Ocasional
Manhattan,Nolita,Entire home/apt,310,5,5,0.09,89,Ocasional
Brooklyn,Williamsburg,Entire home/apt,110,4,0,0.0,354,Ocasional
Manhattan,Upper West Side,Entire home/apt,109,30,36,0.39,286,Profesional
Manhattan,Upper West Side,Entire home/apt,167,30,16,0.17,252,Profesional
Brooklyn,Fort Greene,Entire home/apt,147,15,5,0.12,189,Ocasional
Manhattan,Chelsea,Entire home/apt,220,4,0,0.0,0,Ocasional
Manhattan,Lower East Side,Entire home/apt,195,4,68,0.77,271,Ocasional
Manhattan,Little Italy,Entire home/apt,199,28,89,0.99,0,Ocasional
Manhattan,Financial District,Private room,65,30,10,1.02,0,Ocasional
Queens,Rego Park,Private room,55,1,38,0.85,0,Ocasional
Bronx,Wakefield,Private room,50,2,15,0.17,337,Ocasional
Brooklyn,Kensington,Private room,60,2,20,0.42,347,Ocasional
Manhattan,East Harlem,Private room,99,3,25,0.96,127,Profesional
Manhattan,Harlem,Entire home/apt,130,2,35,0.42,41,Ocasional
Brooklyn,Williamsburg,Entire home/apt,290,30,1,0.01,0,Ocasional
Manhattan,Chelsea,Entire home/apt,350,3,64,0.7,18,Ocasional
Brooklyn,Crown Heights,Private room,50,3,26,0.33,158,Ocasional
Queens,Long Island City,Private room,96,2,244,2.74,270,Ocasional
Brooklyn,Bushwick,Private room,45,15,21,0.29,88,Profesional
Queens,Woodside,Private room,85,2,270,2.95,306,Profesional
Brooklyn,Bedford-Stuyvesant,Private room,34,10,16,0.19,216,Profesional
Manhattan,East Village,Entire home/apt,250,3,24,0.26,16,Ocasional
Brooklyn,Williamsburg,Private room,190,1,30,0.33,365,Profesional
Brooklyn,Williamsburg,Private room,75,2,5,0.06,365,Profesional
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,93,4,115,1.25,312,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,60,5,9,0.19,33,Profesional
Brooklyn,Bedford-Stuyvesant,Private room,65,5,45,0.52,0,Profesional
Manhattan,Midtown,Entire home/apt,125,365,19,0.21,365,Ocasional
Manhattan,Upper East Side,Entire home/apt,300,3,5,0.08,27,Ocasional
Manhattan,Greenwich Village,Entire home/apt,150,2,203,2.22,300,Ocasional
Manhattan,Washington Heights,Entire home/apt,56,122,20,0.41,216,Ocasional
Manhattan,East Village,Entire home/apt,299,3,49,0.53,365,Ocasional
Brooklyn,Greenpoint,Private room,60,4,6,0.07,303,Ocasional
Brooklyn,Fort Greene,Entire home/apt,88,5,7,0.08,0,Ocasional
Brooklyn,Williamsburg,Private room,60,2,35,0.38,161,Profesional
Manhattan,East Harlem,Private room,200,6,0,0.0,0,Ocasional
Manhattan,Harlem,Private room,99,2,54,0.88,50,Ocasional
Brooklyn,Bushwick,Entire home/apt,110,3,115,1.75,28,Profesional
Brooklyn,Clinton Hill,Entire home/apt,135,5,6,0.13,317,Ocasional
Manhattan,Upper East Side,Entire home/apt,110,15,1,0.02,275,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,165,3,204,2.31,80,Ocasional
Brooklyn,Sunset Park,Entire home/apt,127,180,1,0.03,365,Ocasional
Brooklyn,Prospect Heights,Entire home/apt,402,3,89,0.97,340,Ocasional
Manhattan,Harlem,Private room,85,6,130,1.42,97,Profesional
Brooklyn,Greenpoint,Private room,75,7,15,0.25,365,Profesional
Manhattan,East Village,Entire home/apt,139,30,52,0.6,314,Ocasional
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,70,6,58,0.63,0,Ocasional
Manhattan,East Harlem,Private room,50,3,208,2.32,339,Ocasional
Queens,Astoria,Private room,30,5,3,0.03,0,Ocasional
Manhattan,West Village,Entire home/apt,250,30,7,0.08,35,Ocasional
Brooklyn,Crown Heights,Private room,64,1,1,0.04,0,Ocasional
Manhattan,Harlem,Entire home/apt,300,3,2,0.06,365,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,3,63,0.72,5,Profesional
Brooklyn,Crown Heights,Entire home/apt,250,5,26,0.28,0,Ocasional
Manhattan,West Village,Entire home/apt,200,27,1,0.01,0,Ocasional
Brooklyn,Greenpoint,Entire home/apt,140,5,14,0.16,0,Ocasional
Manhattan,Harlem,Private room,130,1,107,2.38,304,Ocasional
Brooklyn,Kensington,Entire home/apt,90,30,3,0.05,286,Ocasional
Manhattan,Chinatown,Entire home/apt,90,3,107,1.17,0,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,97,3,29,1.57,118,Ocasional
Brooklyn,Gowanus,Entire home/apt,91,6,69,0.76,265,Ocasional
Brooklyn,Park Slope,Private room,125,3,232,2.52,303,Ocasional
Brooklyn,Cypress Hills,Private room,75,7,0,0.0,0,Ocasional
Manhattan,East Village,Entire home/apt,180,7,24,0.26,125,Profesional
Brooklyn,Williamsburg,Entire home/apt,300,7,0,0.0,354,Profesional
Brooklyn,Williamsburg,Entire home/apt,100,19,5,0.06,6,Profesional
Manhattan,Hell's Kitchen,Entire home/apt,175,3,10,0.23,0,Ocasional
Brooklyn,South Slope,Private room,65,4,36,0.47,80,Profesional
Manhattan,West Village,Entire home/apt,240,5,94,1.1,134,Ocasional
Manhattan,East Village,Private room,300,6,1,0.01,0,Ocasional
Manhattan,Chelsea,Entire home/apt,385,1,63,0.71,364,Ocasional
Brooklyn,Bushwick,Private room,47,15,5,0.06,0,Ocasional
Brooklyn,Crown Heights,Entire home/apt,110,3,238,2.6,297,Ocasional
Manhattan,Harlem,Private room,75,2,101,1.1,0,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,3,21,0.23,43,Profesional
Manhattan,Hell's Kitchen,Entire home/apt,165,2,72,0.82,10,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,300,2,40,0.68,0,Ocasional
Brooklyn,Cobble Hill,Entire home/apt,140,3,103,1.13,189,Ocasional
Brooklyn,Williamsburg,Entire home/apt,120,6,66,0.72,17,Profesional
Brooklyn,Fort Greene,Entire home/apt,175,3,35,0.4,289,Ocasional
Brooklyn,Carroll Gardens,Entire home/apt,275,31,121,1.33,305,Ocasional
Manhattan,East Village,Entire home/apt,179,8,15,0.19,0,Ocasional
Brooklyn,Carroll Gardens,Entire home/apt,189,2,13,0.18,0,Ocasional
Manhattan,East Village,Entire home/apt,219,2,129,1.42,220,Ocasional
Manhattan,West Village,Entire home/apt,450,20,157,1.71,0,Ocasional
Manhattan,SoHo,Entire home/apt,249,5,8,0.11,0,Ocasional
Queens,Long Island City,Private room,65,2,5,0.06,362,Ocasional
Brooklyn,Greenpoint,Entire home/apt,250,4,46,0.52,121,Ocasional
Manhattan,Chinatown,Entire home/apt,139,30,37,0.41,153,Ocasional
Manhattan,Upper West Side,Entire home/apt,209,7,14,0.16,205,Ocasional
Brooklyn,Crown Heights,Entire home/apt,120,5,37,0.45,310,Ocasional
Queens,Astoria,Entire home/apt,70,5,1,0.03,0,Ocasional
Manhattan,West Village,Private room,90,3,209,2.38,236,Ocasional
Manhattan,Hell's Kitchen,Entire home/apt,199,3,4,0.07,200,Ocasional
Brooklyn,Bushwick,Private room,50,60,17,0.19,74,Profesional
Brooklyn,Crown Heights,Entire home/apt,100,5,0,0.0,0,Ocasional
Manhattan,Harlem,Entire home/apt,110,1,0,0.0,0,Ocasional
Brooklyn,Williamsburg,Entire home/apt,157,4,54,0.66,12,Profesional
Brooklyn,Greenpoint,Entire home/apt,199,3,43,0.49,84,Profesional
Queens,Astoria,Entire home/apt,192,3,7,0.08,0,Ocasional
Brooklyn,Greenpoint,Entire home/apt,199,3,75,0.93,84,Profesional
Manhattan,Upper West Side,Entire home/apt,150,1,88,0.99,0,Ocasional
Brooklyn,Greenpoint,Entire home/apt,199,3,73,0.84,56,Profesional
Brooklyn,Greenpoint,Entire home/apt,199,3,89,1.06,62,Profesional
Brooklyn,Greenpoint,Entire home/apt,199,3,23,0.26,81,Profesional
Brooklyn,Williamsburg,Entire home/apt,105,3,11,0.16,0,Ocasional
Brooklyn,Williamsburg,Private room,135,28,84,1.12,310,Profesional
Brooklyn,Greenpoint,Entire home/apt,199,3,54,0.61,60,Profesional
Brooklyn,Williamsburg,Private room,125,3,17,0.19,0,Ocasional
Brooklyn,Williamsburg,Private room,60,7,1,0.02,0,Profesional
Brooklyn,Williamsburg,Entire home/apt,85,1,73,0.89,0,Ocasional
Manhattan,Upper West Side,Entire home/apt,300,3,36,0.47,29,Ocasional
Brooklyn,Williamsburg,Private room,75,2,98,1.07,264,Profesional
Queens,Elmhurst,Private room,55,1,63,0.89,341,Profesional
Brooklyn,Crown Heights,Private room,44,5,2,0.09,0,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,55,5,18,0.2,0,Profesional
Brooklyn,Williamsburg,Private room,30,3,24,0.28,0,Profesional
Brooklyn,Fort Greene,Private room,35,3,1,0.07,0,Ocasional
Brooklyn,Williamsburg,Private room,70,1,2,0.05,363,Ocasional
Brooklyn,Williamsburg,Entire home/apt,130,14,23,0.25,25,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,52,2,93,1.12,0,Profesional
Brooklyn,Williamsburg,Private room,75,3,0,0.0,358,Ocasional
Manhattan,Upper East Side,Private room,190,3,0,0.0,0,Profesional
Manhattan,SoHo,Entire home/apt,250,5,152,1.69,109,Ocasional
Brooklyn,East New York,Entire home/apt,100,1,119,1.39,289,Profesional
Brooklyn,Greenpoint,Entire home/apt,130,4,9,0.1,188,Ocasional
Manhattan,Harlem,Private room,140,2,44,0.49,260,Ocasional
Brooklyn,Flatbush,Private room,75,2,158,1.77,168,Ocasional
Manhattan,East Harlem,Entire home/apt,150,7,12,0.14,0,Ocasional
Manhattan,East Harlem,Entire home/apt,90,3,51,0.57,311,Ocasional
Manhattan,Upper West Side,Entire home/apt,295,1,0,0.0,146,Ocasional
Manhattan,Upper West Side,Entire home/apt,150,2,11,0.13,2,Ocasional
Brooklyn,Williamsburg,Entire home/apt,180,3,236,2.74,242,Profesional
Brooklyn,Fort Greene,Private room,135,3,16,0.18,0,Ocasional
Brooklyn,Bushwick,Private room,65,5,123,1.42,46,Ocasional
Manhattan,Upper West Side,Private room,99,3,14,0.22,365,Ocasional
Brooklyn,Greenpoint,Private room,149,14,65,0.73,364,Ocasional
Staten Island,Clifton,Private room,59,1,50,0.56,352,Ocasional
Manhattan,Harlem,Private room,75,3,33,0.39,301,Profesional
Manhattan,Harlem,Private room,75,3,30,0.35,322,Profesional
Brooklyn,Bedford-Stuyvesant,Private room,75,3,13,0.15,298,Ocasional
Manhattan,Upper West Side,Entire home/apt,109,30,18,0.2,285,Profesional
Brooklyn,Crown Heights,Entire home/apt,225,4,1,0.01,342,Ocasional
Manhattan,East Harlem,Private room,86,3,216,2.44,250,Ocasional
Queens,Ridgewood,Private room,52,2,98,1.09,326,Ocasional
Brooklyn,Prospect Heights,Private room,100,2,61,0.86,90,Ocasional
Manhattan,Lower East Side,Entire home/apt,99,30,13,0.34,289,Profesional
Manhattan,East Village,Private room,89,3,136,1.52,193,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,39,0.47,293,Profesional
Manhattan,West Village,Entire home/apt,199,14,65,0.73,155,Ocasional
Brooklyn,Kensington,Entire home/apt,89,3,62,0.71,189,Ocasional
Manhattan,Harlem,Private room,110,3,47,0.57,248,Ocasional
Brooklyn,Bushwick,Entire home/apt,120,2,42,0.48,238,Ocasional
Brooklyn,Williamsburg,Private room,59,3,207,2.29,284,Profesional
Brooklyn,Bay Ridge,Private room,49,4,72,0.81,343,Profesional
Brooklyn,Greenpoint,Private room,79,14,22,0.25,268,Ocasional
Manhattan,Harlem,Entire home/apt,135,30,25,0.28,249,Ocasional
Brooklyn,South Slope,Entire home/apt,185,2,215,2.42,291,Ocasional
Brooklyn,Williamsburg,Entire home/apt,225,4,26,0.73,0,Ocasional
Manhattan,Gramercy,Entire home/apt,245,5,18,0.21,0,Ocasional
Manhattan,Washington Heights,Entire home/apt,115,3,18,0.21,31,Ocasional
Brooklyn,Williamsburg,Entire home/apt,325,2,320,3.6,0,Ocasional
Brooklyn,Williamsburg,Private room,95,2,160,1.8,79,Profesional
Manhattan,West Village,Private room,120,2,78,1.22,0,Ocasional
Manhattan,Upper West Side,Entire home/apt,499,30,64,0.72,157,Ocasional
Brooklyn,Williamsburg,Private room,75,2,219,2.44,277,Profesional
Manhattan,Upper East Side,Private room,109,1,66,0.94,353,Ocasional
Brooklyn,Williamsburg,Entire home/apt,160,3,25,0.29,0,Ocasional
Manhattan,Upper East Side,Entire home/apt,219,4,102,1.15,280,Profesional
Manhattan,Upper East Side,Entire home/apt,159,2,32,0.47,7,Ocasional
Brooklyn,Clinton Hill,Private room,180,3,15,0.18,266,Profesional
Manhattan,East Village,Entire home/apt,150,5,1,0.02,0,Ocasional
Manhattan,Kips Bay,Entire home/apt,106,3,12,0.14,271,Ocasional
Manhattan,Midtown,Entire home/apt,299,10,19,0.27,101,Ocasional
Manhattan,Upper West Side,Entire home/apt,179,3,297,3.37,205,Ocasional
Brooklyn,Crown Heights,Entire home/apt,165,3,12,0.13,343,Ocasional
Brooklyn,Flatbush,Entire home/apt,500,4,9,0.11,0,Ocasional
Manhattan,Chinatown,Entire home/apt,250,15,9,0.1,190,Ocasional
Manhattan,Inwood,Private room,87,7,46,0.62,310,Profesional
Brooklyn,Williamsburg,Private room,79,4,42,0.47,52,Profesional
Manhattan,Hell's Kitchen,Private room,75,2,118,2.11,312,Profesional
Brooklyn,Williamsburg,Entire home/apt,200,30,53,0.6,0,Ocasional
Manhattan,Harlem,Private room,80,1,15,0.21,329,Ocasional
Brooklyn,East Flatbush,Entire home/apt,115,3,64,0.72,333,Profesional
Brooklyn,East Flatbush,Entire home/apt,115,3,51,0.58,327,Profesional
Brooklyn,East Flatbush,Entire home/apt,120,3,79,0.88,349,Profesional
Manhattan,Harlem,Private room,125,3,202,2.29,217,Ocasional
Manhattan,Upper West Side,Entire home/apt,387,1,23,0.63,0,Ocasional
Manhattan,Hell's Kitchen,Private room,95,6,62,0.76,80,Profesional
Manhattan,Upper West Side,Entire home/apt,99,2,36,0.45,0,Ocasional
Manhattan,Upper East Side,Entire home/apt,121,1,16,0.19,351,Profesional
Manhattan,Hell's Kitchen,Entire home/apt,350,4,24,0.27,362,Ocasional
Manhattan,Harlem,Private room,75,2,77,0.88,144,Profesional
Manhattan,Hell's Kitchen,Private room,95,5,110,1.27,43,Profesional
Manhattan,Harlem,Private room,89,1,56,0.64,365,Ocasional
Manhattan,West Village,Private room,195,1,7,0.08,129,Ocasional
Manhattan,Flatiron District,Private room,160,21,0,0.0,0,Ocasional
Brooklyn,Sunset Park,Entire home/apt,70,18,19,0.22,0,Ocasional
Manhattan,Greenwich Village,Private room,100,3,7,0.09,0,Ocasional
Manhattan,Lower East Side,Entire home/apt,140,1,53,0.6,0,Ocasional
Manhattan,East Village,Entire home/apt,189,3,265,2.99,355,Profesional
Brooklyn,Williamsburg,Private room,160,5,0,0.0,0,Ocasional
Brooklyn,Park Slope,Entire home/apt,178,30,8,0.1,280,Ocasional
Brooklyn,Crown Heights,Entire home/apt,145,14,46,0.52,38,Ocasional
Brooklyn,Park Slope,Entire home/apt,125,5,6,0.08,31,Ocasional
Manhattan,Chelsea,Entire home/apt,265,4,75,0.86,324,Ocasional
Brooklyn,Prospect-Lefferts Gardens,Private room,77,5,11,0.13,365,Profesional
Manhattan,Upper East Side,Private room,60,3,5,1.47,0,Profesional
Manhattan,Chinatown,Entire home/apt,129,3,132,1.49,171,Ocasional
Manhattan,East Village,Entire home/apt,199,6,41,0.47,36,Ocasional
Brooklyn,Prospect-Lefferts Gardens,Private room,92,7,34,0.39,332,Ocasional
Brooklyn,Crown Heights,Entire home/apt,185,3,34,0.39,0,Ocasional
Manhattan,Midtown,Entire home/apt,110,7,27,0.31,192,Ocasional
Brooklyn,Williamsburg,Private room,65,4,30,0.34,139,Ocasional
Manhattan,Midtown,Private room,135,3,214,2.45,167,Profesional
Manhattan,Upper East Side,Shared room,115,30,12,0.14,0,Ocasional
Manhattan,Harlem,Private room,175,2,6,0.09,10,Profesional
Brooklyn,Williamsburg,Private room,72,3,156,1.8,110,Ocasional
Brooklyn,Park Slope,Private room,80,2,30,0.74,0,Ocasional
Brooklyn,Crown Heights,Entire home/apt,125,5,1,0.02,0,Ocasional
Brooklyn,Greenpoint,Private room,120,5,3,0.09,242,Ocasional
Brooklyn,Williamsburg,Private room,94,2,272,3.18,22,Profesional
Brooklyn,Prospect Heights,Private room,56,3,63,0.82,0,Ocasional
Manhattan,East Village,Entire home/apt,549,30,58,0.66,200,Ocasional
Brooklyn,Greenpoint,Entire home/apt,190,2,5,0.1,0,Ocasional
Brooklyn,Williamsburg,Private room,129,3,63,0.71,87,Profesional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,85,5,268,3.04,202,Profesional
Staten Island,Graniteville,Private room,20,3,80,0.92,226,Ocasional
Manhattan,Upper West Side,Entire home/apt,145,3,22,0.25,0,Ocasional
Manhattan,Hell's Kitchen,Entire home/apt,200,7,13,0.15,327,Ocasional
Brooklyn,Park Slope,Entire home/apt,125,4,23,0.67,262,Profesional
Brooklyn,Sheepshead Bay,Entire home/apt,50,30,3,0.08,0,Ocasional
Manhattan,Harlem,Private room,160,3,10,0.12,359,Profesional
Manhattan,Harlem,Private room,180,3,14,0.16,348,Profesional
Manhattan,Inwood,Private room,100,1,20,0.28,0,Ocasional
Brooklyn,Williamsburg,Private room,70,5,2,0.02,0,Ocasional
Bronx,Spuyten Duyvil,Entire home/apt,120,2,47,1.22,318,Ocasional
Staten Island,Stapleton,Private room,110,2,6,0.19,363,Ocasional
Manhattan,Upper East Side,Private room,105,7,93,1.06,70,Ocasional
Manhattan,Midtown,Entire home/apt,250,3,116,1.32,0,Ocasional
Manhattan,Kips Bay,Private room,74,240,15,0.17,90,Ocasional
Manhattan,Harlem,Entire home/apt,165,2,70,0.8,15,Profesional
Manhattan,Washington Heights,Private room,99,3,4,0.41,335,Ocasional
Manhattan,Gramercy,Entire home/apt,125,30,128,1.46,0,Profesional
Queens,Briarwood,Private room,75,1,59,0.69,0,Profesional
Queens,Ozone Park,Shared room,45,1,8,0.11,364,Profesional
Brooklyn,Columbia St,Entire home/apt,159,2,106,1.22,34,Ocasional
Brooklyn,Williamsburg,Private room,45,15,15,0.57,242,Profesional
Manhattan,Hell's Kitchen,Private room,104,2,133,1.51,147,Ocasional
Manhattan,Financial District,Entire home/apt,225,4,27,0.31,169,Ocasional
Manhattan,Nolita,Private room,100,5,61,0.7,188,Ocasional
Brooklyn,Greenpoint,Private room,90,2,2,0.02,89,Profesional
Queens,Briarwood,Private room,75,1,16,0.18,189,Profesional
Manhattan,Flatiron District,Entire home/apt,350,7,0,0.0,0,Ocasional
Manhattan,Harlem,Entire home/apt,135,5,38,0.44,253,Ocasional
Manhattan,Upper West Side,Private room,125,1,25,0.28,311,Ocasional
Manhattan,East Village,Entire home/apt,225,3,93,1.05,0,Ocasional
Manhattan,Harlem,Private room,85,3,6,0.07,363,Ocasional
Manhattan,Upper East Side,Entire home/apt,200,7,30,0.34,224,Ocasional
Brooklyn,South Slope,Entire home/apt,250,3,17,0.46,5,Ocasional
Manhattan,Lower East Side,Private room,90,10,67,0.77,301,Ocasional
Brooklyn,Bushwick,Entire home/apt,130,30,53,0.68,0,Ocasional
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,90,30,32,0.37,50,Ocasional
Brooklyn,Carroll Gardens,Entire home/apt,298,30,131,1.84,296,Profesional
Manhattan,Upper East Side,Entire home/apt,300,4,19,0.22,84,Ocasional
Manhattan,Harlem,Private room,125,1,0,0.0,365,Ocasional
Manhattan,East Harlem,Private room,125,3,74,0.84,212,Profesional
Manhattan,Midtown,Private room,145,3,165,1.88,181,Profesional
Manhattan,East Village,Entire home/apt,147,2,16,0.18,0,Ocasional
Brooklyn,Williamsburg,Private room,123,3,269,3.09,158,Profesional
Brooklyn,Windsor Terrace,Entire home/apt,88,3,243,2.75,217,Ocasional
Queens,Long Island City,Entire home/apt,215,2,59,0.94,335,Ocasional
Manhattan,SoHo,Entire home/apt,225,3,134,1.53,231,Ocasional
Manhattan,Nolita,Entire home/apt,269,28,81,0.93,122,Ocasional
Brooklyn,Williamsburg,Entire home/apt,145,3,7,0.08,270,Ocasional
Brooklyn,Bushwick,Private room,75,3,112,1.28,330,Profesional
Manhattan,Greenwich Village,Entire home/apt,145,5,0,0.0,0,Ocasional
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,229,2,92,1.05,321,Ocasional
Brooklyn,Boerum Hill,Entire home/apt,300,29,23,0.26,312,Profesional
Manhattan,East Harlem,Private room,100,3,67,0.76,345,Profesional
Brooklyn,Brighton Beach,Entire home/apt,75,2,8,0.1,2,Ocasional
Manhattan,Nolita,Entire home/apt,225,2,244,2.81,252,Profesional
Brooklyn,Williamsburg,Private room,120,6,62,0.7,15,Profesional
Brooklyn,Crown Heights,Entire home/apt,160,5,125,1.47,169,Profesional
Brooklyn,Crown Heights,Entire home/apt,125,30,58,0.67,212,Profesional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,95,5,9,0.1,0,Ocasional
Brooklyn,Williamsburg,Private room,119,3,137,1.57,296,Ocasional
Manhattan,Midtown,Entire home/apt,275,2,16,0.24,167,Ocasional
Manhattan,Financial District,Entire home/apt,160,1,36,0.57,365,Ocasional
Brooklyn,Clinton Hill,Entire home/apt,500,1,54,0.65,365,Profesional
Manhattan,East Village,Entire home/apt,175,14,1,0.03,0,Ocasional
Brooklyn,Greenpoint,Entire home/apt,87,6,39,0.47,258,Profesional
Brooklyn,Park Slope,Entire home/apt,160,1,145,1.76,257,Profesional
Manhattan,East Village,Private room,125,3,28,0.33,364,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,90,2,206,2.4,236,Ocasional
Manhattan,Lower East Side,Entire home/apt,200,7,4,0.22,0,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,250,15,37,0.52,54,Profesional
Manhattan,Upper West Side,Private room,99,30,27,0.31,189,Ocasional
Manhattan,Hell's Kitchen,Entire home/apt,325,30,18,0.21,364,Ocasional
Manhattan,Hell's Kitchen,Private room,99,1,134,1.54,265,Ocasional
Manhattan,Midtown,Entire home/apt,325,2,197,2.25,207,Ocasional
Manhattan,West Village,Entire home/apt,129,7,5,0.09,0,Ocasional
Brooklyn,Crown Heights,Entire home/apt,130,28,5,0.06,196,Ocasional
Brooklyn,Vinegar Hill,Entire home/apt,190,4,8,0.09,0,Ocasional
Brooklyn,Crown Heights,Private room,55,2,62,0.71,57,Profesional
Manhattan,Washington Heights,Private room,60,2,13,0.15,0,Ocasional
Manhattan,Upper West Side,Entire home/apt,250,1,8,0.09,0,Ocasional
Manhattan,Washington Heights,Entire home/apt,275,3,50,0.87,277,Profesional
Queens,Long Island City,Private room,50,180,69,0.79,0,Ocasional
Brooklyn,Prospect Heights,Entire home/apt,125,4,41,0.47,10,Ocasional
Brooklyn,Clinton Hill,Entire home/apt,150,20,89,1.04,247,Ocasional
Brooklyn,East New York,Entire home/apt,70,4,40,0.46,273,Ocasional
Brooklyn,Gowanus,Entire home/apt,138,3,106,1.22,189,Ocasional
Manhattan,Financial District,Entire home/apt,265,4,33,0.39,0,Ocasional
Manhattan,Upper East Side,Private room,145,5,2,0.09,365,Ocasional
Manhattan,West Village,Entire home/apt,151,88,19,0.22,249,Ocasional
Manhattan,Financial District,Entire home/apt,208,6,100,1.14,310,Ocasional
Brooklyn,Williamsburg,Entire home/apt,200,3,16,0.19,291,Ocasional
Manhattan,East Village,Private room,110,2,64,0.76,74,Ocasional
Manhattan,Harlem,Private room,58,1,17,0.31,289,Profesional
Manhattan,Harlem,Private room,55,2,7,0.08,0,Ocasional
Brooklyn,Park Slope,Entire home/apt,105,115,15,0.17,219,Ocasional
Manhattan,East Village,Entire home/apt,350,5,4,0.07,0,Ocasional
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,150,3,87,1.0,73,Ocasional
Brooklyn,Williamsburg,Private room,55,150,10,0.14,97,Ocasional
Brooklyn,Park Slope,Entire home/apt,299,20,0,0.0,149,Ocasional
Queens,Ridgewood,Entire home/apt,77,3,289,3.3,85,Ocasional
Manhattan,Chelsea,Entire home/apt,125,9,10,0.11,0,Ocasional
Manhattan,Upper West Side,Entire home/apt,395,14,39,0.45,50,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,189,7,7,0.1,303,Profesional
Bronx,Mott Haven,Private room,49,1,23,0.27,333,Ocasional
Manhattan,Upper West Side,Entire home/apt,90,4,22,0.27,239,Ocasional
Manhattan,Kips Bay,Private room,100,1,1,0.02,6,Ocasional
Brooklyn,Williamsburg,Entire home/apt,299,2,5,0.06,0,Profesional
Queens,Jackson Heights,Private room,75,5,30,0.37,180,Profesional
Queens,Jackson Heights,Private room,69,7,55,0.64,318,Profesional
Brooklyn,Williamsburg,Private room,90,1,155,1.78,328,Profesional
Manhattan,Harlem,Private room,94,1,95,1.09,18,Ocasional
Brooklyn,Windsor Terrace,Private room,80,2,118,1.35,353,Ocasional
Bronx,Longwood,Entire home/apt,100,5,82,0.96,63,Ocasional
Brooklyn,Canarsie,Private room,39,5,105,1.21,34,Profesional
Manhattan,Upper West Side,Entire home/apt,250,3,73,0.84,284,Ocasional
Brooklyn,Sunset Park,Private room,55,7,28,0.32,333,Profesional
Brooklyn,Park Slope,Private room,110,2,0,0.0,0,Ocasional
Brooklyn,Kensington,Entire home/apt,200,1,3,0.06,0,Ocasional
Brooklyn,Windsor Terrace,Entire home/apt,142,3,120,1.4,222,Ocasional
Brooklyn,Clinton Hill,Private room,70,2,339,3.88,333,Profesional
Brooklyn,Greenpoint,Entire home/apt,260,2,7,0.09,0,Ocasional
Manhattan,Lower East Side,Entire home/apt,225,4,13,0.15,195,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,59,21,6,0.07,0,Profesional
Manhattan,Harlem,Private room,65,1,3,0.03,0,Ocasional
Manhattan,Inwood,Entire home/apt,99,20,11,0.18,249,Ocasional
Manhattan,East Village,Entire home/apt,239,2,67,1.33,78,Ocasional
Manhattan,Inwood,Entire home/apt,50,2,123,1.47,21,Ocasional
Manhattan,Harlem,Private room,65,4,109,1.25,0,Profesional
Manhattan,Chelsea,Entire home/apt,139,4,23,0.27,0,Ocasional
Manhattan,West Village,Entire home/apt,174,2,269,3.15,167,Profesional
Manhattan,West Village,Entire home/apt,315,3,7,0.08,0,Ocasional
Manhattan,Harlem,Private room,75,3,36,1.76,47,Ocasional
Manhattan,East Village,Entire home/apt,210,1,178,2.06,0,Ocasional
Brooklyn,Williamsburg,Private room,55,4,132,1.51,195,Profesional
Brooklyn,Williamsburg,Entire home/apt,229,3,12,0.15,319,Ocasional
Manhattan,Upper East Side,Entire home/apt,150,2,23,0.27,0,Ocasional
Manhattan,Kips Bay,Entire home/apt,129,2,47,0.55,177,Ocasional
Manhattan,Harlem,Entire home/apt,100,8,8,0.11,0,Ocasional
Brooklyn,Williamsburg,Entire home/apt,200,3,17,0.2,67,Ocasional
Manhattan,Lower East Side,Private room,89,5,4,0.06,0,Ocasional
Brooklyn,Crown Heights,Entire home/apt,250,90,19,0.22,311,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,65,7,2,0.02,0,Profesional
Brooklyn,Crown Heights,Entire home/apt,68,2,35,0.54,0,Profesional
Brooklyn,Williamsburg,Entire home/apt,235,3,108,1.25,144,Profesional
